zip,city,state,lat,lon
00501,Holtsville,NY,40.813078,-73.046388
00544,Holtsville,NY,40.813223,-73.049288
01001,Agawam,MA,42.071523,-72.624257
01002,Amherst,MA,42.37686,-72.46914
01003,Amherst,MA,42.40524,-72.528427
01007,Belchertown,MA,42.281915,-72.409531
01005,Barre,MA,42.433317,-72.114488
01008,Blandford,MA,42.143189,-72.931858
01011,Chester,MA,42.283726,-72.9669
01012,Chesterfield,MA,42.387225,-72.834041
01010,Brimfield,MA,42.11514,-72.20142
01013,Chicopee,MA,42.162301,-72.604454
01020,Chicopee,MA,42.1756,-72.56999
01022,Chicopee,MA,42.194752,-72.561933
01026,Cummington,MA,42.42786,-72.9003
01027,Easthampton,MA,42.29142,-72.71772
01028,East Longmeadow,MA,42.068418,-72.504285
01030,Feeding Hills,MA,42.072375,-72.675163
01031,Gilbertville,MA,42.33426,-72.17604
01033,Granby,MA,42.256411,-72.519474
01034,Granville,MA,42.08196,-72.95058
01035,Hadley,MA,42.359966,-72.577472
01032,Goshen,MA,42.4668,-72.83076
01036,Hampden,MA,42.062919,-72.430251
01038,Hatfield,MA,42.381499,-72.607454
01039,Haydenville,MA,42.379586,-72.696757
01040,Holyoke,MA,42.204025,-72.630051
01050,Huntington,MA,42.272328,-72.865189
01053,Leeds,MA,42.354408,-72.701457
01056,Ludlow,MA,42.171237,-72.472507
01054,Leverett,MA,42.474743,-72.482496
01057,Monson,MA,42.094023,-72.323969
01060,Northampton,MA,42.33072,-72.67506
01062,Florence,MA,42.331578,-72.692571
01063,Northampton,MA,42.319077,-72.644431
01068,Oakham,MA,42.346443,-72.049242
01069,Palmer,MA,42.165487,-72.3144
01071,Russell,MA,42.171278,-72.86313
01073,Southampton,MA,42.225636,-72.721743
01075,South Hadley,MA,42.25332,-72.5799
01072,Shutesbury,MA,42.467788,-72.42989
01077,Southwick,MA,42.053564,-72.771922
01080,Three Rivers,MA,42.181538,-72.372116
01070,Plainfield,MA,42.53684,-72.933103
01081,Wales,MA,42.061203,-72.22759
01082,Ware,MA,42.262671,-72.265357
01084,West Chesterfield,MA,42.408674,-72.889157
01085,Westfield,MA,42.15636,-72.77874
01089,West Springfield,MA,42.117059,-72.639407
01095,Wilbraham,MA,42.120823,-72.44327
01088,West Hatfield,MA,42.386547,-72.639767
01096,Williamsburg,MA,42.399296,-72.749011
01098,Worthington,MA,42.307673,-72.878084
01103,Springfield,MA,42.102044,-72.587143
01105,Springfield,MA,42.101072,-72.579177
01104,Springfield,MA,42.128134,-72.571488
01106,Longmeadow,MA,42.052405,-72.567774
01107,Springfield,MA,42.122891,-72.607189
01108,Springfield,MA,42.082083,-72.554368
01109,Springfield,MA,42.118736,-72.548305
01111,Springfield,MA,42.117977,-72.547899
01118,Springfield,MA,42.093934,-72.527899
01119,Springfield,MA,42.122853,-72.506417
01129,Springfield,MA,42.122932,-72.486989
01128,Springfield,MA,42.094006,-72.49483
01144,Springfield,MA,42.101625,-72.594817
01151,Indian Orchard,MA,42.151001,-72.506454
01152,Springfield,MA,42.152789,-72.511258
01199,Springfield,MA,42.119147,-72.603412
01201,Pittsfield,MA,42.455451,-73.249993
01222,Ashley Falls,MA,42.056401,-73.318783
01226,Dalton,MA,42.469716,-73.162714
01223,Becket,MA,42.381306,-73.143709
01224,Berkshire,MA,42.489291,-73.195563
01220,Adams,MA,42.619977,-73.12078
01225,Cheshire,MA,42.555166,-73.156002
01230,Great Barrington,MA,42.18366,-73.36398
01235,Hinsdale,MA,42.43086,-73.06938
01236,Housatonic,MA,42.27474,-73.3704
01237,Lanesboro,MA,42.53934,-73.2462
01238,Lee,MA,42.30132,-73.23198
01240,Lenox,MA,42.363117,-73.273909
01245,Monterey,MA,42.2088,-73.19724
01247,North Adams,MA,42.68712,-73.07436
01252,North Egremont,MA,42.196701,-73.436284
01254,Richmond,MA,42.401705,-73.348236
01255,Sandisfield,MA,42.11784,-73.13412
01253,Otis,MA,42.1923,-73.06848
01256,Savoy,MA,42.576296,-73.030921
01257,Sheffield,MA,42.077092,-73.395288
01259,Southfield,MA,42.068111,-73.287921
01263,Stockbridge,MA,42.28901,-73.319529
01267,Williamstown,MA,42.699457,-73.210225
01266,West Stockbridge,MA,42.333061,-73.380396
01301,Greenfield,MA,42.602912,-72.598574
01270,Windsor,MA,42.336404,-73.254387
01330,Ashfield,MA,42.5214,-72.81312
01331,Athol,MA,42.58886,-72.224089
01337,Bernardston,MA,42.68988,-72.58374
01338,Buckland,MA,42.598874,-72.740885
